time,open,high,low,close,Volume
2017-09-21,219.41374695,219.5015546,218.80348381,218.98348948,48211398
2017-09-22,218.68494349,219.19422783,218.65860119,219.02739331,51214032
2017-09-25,218.77275113,219.12679156,217.83320931,218.57957431,57064357
2017-09-26,219.00983178,219.25569319,218.46981475,218.71128578,54081959
2017-09-27,219.41374695,219.94937359,218.52688972,219.56301995,81001426
2017-09-28,219.28203548,219.90546977,219.19422783,219.82644289,44778841
2017-09-29,219.81766212,220.67817706,219.63326607,220.59915018,85578002
2017-10-02,220.82745006,221.55625352,220.65411776,221.55625352,59022985
2017-10-03,221.67918423,222.05675711,221.47722664,222.03041482,66810169
2017-10-04,221.88114182,222.53969916,221.76699188,222.29383775,55953619
2017-10-05,222.62750681,223.62851398,222.32544851,223.61095245,63522757
2017-10-06,223.16313345,223.64677797,222.89971052,223.35631028,80645998
2017-10-09,223.58461016,223.64607551,222.72409522,222.98751816,35803138
2017-10-10,223.55826786,223.95340227,223.01386046,223.57582939,43057363
2017-10-11,223.47924098,223.92705998,223.31240645,223.92705998,47674325
2017-10-12,223.61095245,223.96218304,223.35191989,223.59339092,47080269
2017-10-13,224.03242915,224.14657909,223.59339092,223.86559463,54800435
2017-10-16,224.09389451,224.35731745,223.75144469,224.16414062,38521675
2017-10-17,224.11145604,224.36609821,223.89193692,224.32219439,31560964
2017-10-18,224.69976727,224.74367109,224.34853668,224.5417135,40888330
2017-10-19,223.76022545,224.63830191,223.33874875,224.60317886,61903788
2017-10-20,225.40222844,225.78858208,224.58948086,225.76223979,89176377
2017-10-23,226.08712808,226.11347038,224.80513644,224.88416332,63915306
2017-10-24,225.31442079,225.51637838,224.91928638,225.27929773,66935910
2017-10-25,224.94562868,225.05977862,223.03142198,224.16414062,103715291
2017-10-26,224.77879415,225.05099785,224.33097515,224.45390586,69797972
2017-10-27,225.20027085,226.44713943,224.45864747,226.28908567,85562544
2017-10-30,225.72711673,226.19249726,225.14758626,225.44613226,54285687
2017-10-31,225.82370514,226.05200502,225.49442647,225.79736285,60304781
2017-11-01,226.5788509,226.92130072,225.72711673,226.09590885,54202736
2017-11-02,226.02566273,226.32420873,224.95440944,226.18371649,56449535
2017-11-03,226.34177026,226.98276608,225.92907432,226.93886225,59589730
2017-11-06,226.80715078,227.42180431,226.73690467,227.29009284,49652598
2017-11-07,227.39546201,227.72913107,226.62275472,227.13203907,57502161
2017-11-08,226.95642378,227.61498113,226.67543931,227.51839272,50469579
2017-11-09,226.3066472,226.88617766,225.10368244,226.69300084,95085497
2017-11-10,226.3066472,226.80065302,225.99053967,226.62275472,59984662
2017-11-13,225.93785508,227.06179296,225.90273202,226.83349308,50228648
2017-11-14,226.02566273,226.41201637,225.24417468,226.3066472,61315152
2017-11-15,225.33198232,225.8588282,224.46268662,225.17392856,80811525
2017-11-16,226.12225114,227.45692737,226.08256208,227.08813525,67777027
2017-11-17,226.73690467,227.06021242,226.34177026,226.42079714,75756833
2017-11-20,226.66665855,227.00471799,226.42079714,226.80715078,48075514
2017-11-21,227.57985807,228.47549606,227.57985807,228.29110001,69176799
2017-11-22,228.29988077,228.43159224,227.92230789,228.08914242,45033392
2017-11-24,228.58086524,228.72135747,228.44037301,228.6159883,27746365
2017-11-27,228.65989212,228.95843812,228.29988077,228.50183836,52274922
2017-11-28,228.96721888,230.84630252,228.87502086,230.81996022,98971719
2017-11-29,230.95167169,231.48729834,230.23164899,230.67946799,77512102
2017-11-30,231.60144828,233.61224338,231.5224214,232.69904386,127894389
2017-12-01,232.47952474,232.9624668,228.96721888,232.2161018,164390902
2017-12-04,233.84054326,234.27080073,231.88243275,231.93511733,94040560
2017-12-05,232.18975951,232.82197456,230.96923322,231.10094469,77994544
2017-12-06,230.81996022,231.57510598,230.67946799,231.14484852,75898566
2017-12-07,231.01313705,232.18975951,230.88142558,231.87365198,77218569
2017-12-08,232.68148233,233.14686286,232.44440168,233.13808209,76563873
2017-12-11,233.19954744,233.90200862,233.11112514,233.84054326,83077533
2017-12-12,234.06884314,234.72740049,233.87127594,234.2532392,85195750
2017-12-13,234.49910061,234.93813884,234.13908926,234.22689691,102905409
2017-12-14,234.52544291,234.63959285,233.21710897,233.26979356,100666692
2017-12-15,234.2770948,235.68037444,234.22414085,235.21261456,144610290
2017-12-18,236.6158942,237.05717711,236.50998631,236.70415078,83676072
2017-12-19,236.95126921,236.9953975,235.72450273,235.795108,82382876
